Level Title,Course ID,Username,Game Style,Theme,Brief Description,Difficulty,Picture
10 Second troll,e354-0000-0033-a15f,Mike-Wazowski24,SMB3,Airship,No time to relax in this 10 second action packed race to the goal box!,Hard,
100 Coin Challenge - Airship,8E56-0000-0043-2D3B,koolboyman,SMB,Airship,Can you find all 100 coins? What's your rank when you reach the end?,Very Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYmfzsJAMNXCK
100 Coin Challenge - Airship,8E56-0000-0043-2D3B,koolboyman,SMB,Airship,Can you find all 100 coins? What's your rank when you reach the end?,Very Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYmfzsJAMNXCK
100 Coin Challenge - Overworld,3C99-0000-0019-682F,koolboyman,SMB,Ground,Can you find all 100 coins? What's your rank when you reach the end?,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iX-4jQReR0ETL
101 Shorts: Swim with Pride,0F32-0000-003C-2DD7,Tamashii,SMB,Underwater,Short level to alert players to the dangers of underwater obstacles,Medium,
24 Floors of Mayhem,DB97-0000-0031-916C,Jigsaw Jo,NSMBU,Underground,"A ""vertical"" building consisting of 24 increasingly difficult floors.",Hard,
8 Paths With 8 Secrets Each!,926C-0000-005C-83A9,-dust-,SMW,Ground/Underground,8 Paths with 8 Hidden blocks in each area. Can you find them all? Very detailed.,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdojqeaQ
8-4 Hard Mode,F219-0000-001C-D7BE,MetalSmasher86,SMB,Castle,"After his first defeat in 1985, Bowser remodeled his castle with even more tricks and traps!",Super Expert,https://www.youtube.com/watch?v=C8XQL-lIsFg
99 Coins Challenge #1,3B4F-0000-004B-C213,Master_A1,NSMBU,Ground/Underground,Getting all the 99 coins can be very tricky and satisfying.,Hard,https://miiverse.nintendo.net/posts/AYQHAAABAAAEVHhnRvxi1g
A Bug's Life,750F-0000-0051-7683,Master_A1,SMW,Ground/Underground,Bring back The Bug back to his family. You will need him to reach this goal.,Medium - Hard,https://miiverse.nintendo.net/posts/AYQHAAABAACNUKFJ2KZfqg
A Day in the Life,85CB-0000-00BF-80E2,Buttons,SMB,Ground/Underground,Three brave Pikmin must face collosal dangers to make it home before dark!,Hard,http://bin.smwcentral.net/u/62/SMM_Day%2Bin%2Bthe%2BLife_3.jpg
A Fishy Situation,D76B-0000-0022-BCF3,Shiitake,SMB,Underground,A novelty stage featuring giant fish skeletons. Also starring the Inklings.,Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYNSokZgeCaNG
A Nightmare on Luigi St. W1-1,2139-0000-01F7-2E2E,trunks2003,SMB,Ghost House,Inspired by The A Nightmare on Elm St. NES Game.,Normal/Expert,https://supermariomakerbookmark.nintendo.net/courses/2139-0000-01F7-2E2E
A Nightmare on Luigi St. W1-2,C04C-0000-01F1-EAF7,trunks2003,SMB,Ghost House/Castle,Inspired by The A Nightmare on Elm St. NES Game.,Normal/Expert,https://supermariomakerbookmark.nintendo.net/courses/C04C-0000-01F1-EAF7
A Nightmare on Luigi St. W1-3,1AA7-0000-01F7-85EF,NNID: trunks2003,SMB,Ghost House,Inspired by The A Nightmare on Elm St. NES Game.,Expert,https://supermariomakerbookmark.nintendo.net/courses/1AA7-0000-01F7-85EF
A Nightmare on Luigi St. W1-4,A1FE-0000-01F8-4FF0,NNID: trunks2003,SMB,Ghost House/Castle,Inspired by The A Nightmare on Elm St. NES Game.,Normal/Expert ,https://supermariomakerbookmark.nintendo.net/courses/A1FE-0000-01F8-4FF0
A Nightmare on Luigi St. W2-1,E08F-0000-01F9-C595,NNID: trunks2003,SMB,Ghost House,Inspired by The A Nightmare on Elm St. NES Game.,Normal/Expert,https://supermariomakerbookmark.nintendo.net/courses/E08F-0000-01F9-C595
A Plumber's Life.,5E64-0000-004C-3C32,JedHawk,SMB,Underwater/Ground,Help Mario clear the waters and pipes of what lurks down there,Hard,
A Race Against Koopa the Quick!,51DA-0000-0058-D248,N-Mario1984,NSMBU,Ground,Think you have what it takes to beat Koopa the Quick?,Medium-Hard,
A Song of Magic and Bullets,90AB-0000-0026-837F,Uiraya,SMW,Castle,Can you manage the Magikoopa horde?,Very Hard,
A sprinkle of Shigeru,802D-0000-0077-85F5,JedHawk,SMB,Ground/Ghost House,Simple level with a route to figure. Carelessness will cost you but you should clear this with fun.,Easy,
Abandonment Issues,F3E8-0000-0021-A716,pyroxfire,SMW,Airship,A level where you must betray your only friend to survive,Medium-Hard ,
Aerial Airship Assault v1.1,BD15-0000-0052-5999,Kuriie,SMB3,Airship/Castle,"Pilot a Clown Car for a full-on assault on the Airship before making your way inside, where you will use Kuribo's Shoe to get to the final fight with Bowser!",Hard,
Aerial Maneuvers (EXTREME HARD),B0EA-0000-0044-6866,Aiji,SMW,Airship/Sky,A platforming level that requires you to have good sense of timing and speed,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcq5S0Qg
Aerial Maneuvers (EXTREME HARD),B0EA-0000-0044-6866,Aiji,SMW,Airship/Sky,A platforming level that requires you to have good sense of timing and speed,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcq5S0Qg
Air Spinning is the Key to Win,046F-0000-0017-9885,N-Mario1984,NSMBU,Castle,Make use of Mario's air spinning technique in this theme.,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iX8q3QpjBQT7E
Airship of Doom,75F7-0000-0036-6085,IcarusGirl,SMW,Airship,,Medium,
Airwolf,2433-0000-0052-B4DB,MegaKurosMario,SMW,Airship,"Mario, the wolf in the skies, a retro air fighter game.",Easy,
All Ships Lead to Pain,91AE-0000-0046-4961,Tamashii,SMB3,Airship,"A small fleet of ships with a challenging belly, and a nasty ending",Medium - Hard,
aMAZEing airship,B92D-0000-003E-5AC4,Lazy B,SMB3,Airship,A maze-like airship level with different paths to go,Medium,
An Even More Anoying Maze!,27E4-0000-0034-3A8A,U mad bro?,SMW,Underwater,As if you thought that the previous maze wasn't annoying enough!,Very Hard,
Ancient Shell Guard,0FF8-0000-0052-4D16,OohSaci,SMW,Castle,Make your way thru a lava/airship fleet that is stationed on the coast of a castle.,Medium,
Any Way You Want It,F82C-0000-003B-1E29,Hunter,SMW,Underground,A level with high replay value and 6 possible paths to the exit,Medium,
Arduous Hills,381E-0000-003F-C872,Ramza66,SMB,Ground,"Starts off as a normal platforming segment, then involves climbing vines",Hard,
Ashley's Home Invasion,2DF3-0000-0059-D83A,Jon,SMB,Ghost House,Koopa's have taken over Ashley's mansion!  Show them they messed with the wrong witch!,Easy - Medium,
Attack on Koopa,8980-0000-003F-6F3E,KnightofFenrir,NSMBU,Ground,An escape to the end level based on the anime Attack on Titan.,Medium-Hard,http://imgur.com/EmfQhvn
Attack on Koopa,8980-0000-003F-6F3E,KnightofFenrir,NSMBU,Ground,An escape to the end level based on the anime Attack on Titan.,Medium-Hard,http://imgur.com/EmfQhvn
Audrey Strikes Back!,42FC-0000-006C-7B0E,Dr. Hinke,SMW,Castle,Prepare yourself to defeat Audrey from SMW2: Yoshi's Island,Hard,
Beat the Blade,CAE3-0000-003B-1069,Chuck,SMW,Castle,A quick dash to safety!,Medium,
Blaze the Charizard: Sunken Ruins,0A0C-0000-0069-5BF6,Sab Liath,SMB,Underwater,"Swim past the obstacles, and explore the ruins. Try and reach the top of the flagpole.",Easy-Meduim,
Bliss,F867-0000-0020-7A71,Aeruon,SMW,Ground,A fun level in the style of my favourite 2D Super Mario game.,Medium - Hard,https://miiverse.nintendo.net/posts/AYQHAAABAAAtVHhnpCWlmA
Board the Mega Doomship!,8B5C-0000-0026-DC18,Nanosystem,SMB3,Airship,Climb the vine and stop the doomship!,,
Boarding the Bob-omb Battleship,33BB-0000-0063-3DD7,TWN,SMW,Airship,"Use a clown car to board the airship, use bob-ombs to blast your way through.",Hard,
Bob Omb Mines,3B17-0000-0028-0302,koolboyman,SMB3,Underground,Use Bob-ombs to create new paths and find the leaf in order to reach the goal.,Very Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYUqAIxkkhfs5
Bob Omb Mines,3B17-0000-0028-0302,koolboyman,SMB3,Underground,Use Bob-ombs to create new paths and find the leaf in order to reach the goal.,Very Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYUqAIxkkhfs5
Bob-Bomb Airship,E4D0-0000-0032-1C0E,SteDL,SMW,Airship,"Huge airship with various bomb gimmicks. Includes a ""boss room"".",Hard,
Bob-Omb Bombardment,1413-0000-003E-6838,Master_A1,SMB,Ground/Underground,Blaze the way for the Bob-Ombs to enter the next passages.,Medium,
Bob-omb Quality Assurance Plant,82F5-0000-004D-CA79,,SMW,Castle,Disrupt Bowser's bob-omb supply by strategically blasting your way through the plant,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdD3VI3Q
Bob-ombs madness,9AE4-0000-0071-64AC,Velyund,SMW,Castle,"Expert level with puzzle elements, two secret doors, a secret boss and a thrilling finale.",,
Bombs Below!,AD74-0000-0048-A5F4,bigllama,NSMBU,Ground,Dash across the map and practice your wall jumping to survive the onslaught of bullets.,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkc2XsbKQ
Boney Depths,DC6A-0000-003A-C6B0,Mr.Panda,SMB3,Underwater,Swim through this ocean filled with Bone Fish and Bullet Bills!,Medium,http://imgur.com/3CHrKt4
Boo Marks the Spot,DB0E-0000-004D-622F,,SMB,Ghost House,Puzzle level. Need to figure out how to escape. Name gives a hint.,Medium,
Boo Shakalaka,0213-0000-0071-3A38,Aphrodite,SMB,Ghost House,A spoopy level in which the Mahjong Tile solves a puzzle involving ghosts and doors.,Hard,
Boo's First House,B75A-0000-005B-703A,Tut,SMW,Ghost House,Ghost house with some jumping.,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdnO-Pvg
Boo's Magical Ride,3EA3-0000-003B-A2BA,Gorin,SMW,Ghost House,Automatic Boo House :D,Easy,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcYf0iYg
BooTique of Confusion,4DFE-0000-0017-D537,eharper256/Jim,SMW,Boo,Watch out for the traps in this house of horrors...,,
Boss Fight!,FB49-0000-0034-C6D3,wartjr2373,NSMBU,Ground/Castle,"Defeat Bowser, or try to avoid him, but it's easier to fight! Hidden miniboss!",Medium,http://i.imgur.com/tlq4FOH.jpg
Bounce Tunnel,E9FC-0000-0031-0F1D,Jon,SMB,Ground,Very fun,Very ,
Bouncy Blaster Bonanza! (Auto!),8E74-0000-0044-4028,wartjr2373,SMB,Ground,So very bouncy.,Very Easy (if you don't move),https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZOLXozcBAz4a
Bowser Castle 1,E0B7-0000-0057-24E6,siredav,SMB,Castle,A nod to the Super Mario Kart track of the same name.,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaIISYeKuCOiS
Bowser Jr.'s Airship of Doom,FCA7-0000-001C-8EF0,The_Ninjadillo,NSMBU,Airship,The ultimate airship. You're in for a wild ride!,Very Hard-Kaizo (Mostly long),
Bowser Jr.'s Haunted Mansion,2BA4-0000-0043-D9AA,SuperiorSatoru,SMW,Ghosthouse,Investigate Bowser Jr's  Haunted House and find him so you can whoop his ass,Medium-Hard,http://i.imgur.com/O4OeUR8.jpg
Bowser Junior's All-out Assault,08BA-0000-0024-75AE,jadpraet (Mii),NSMBU,Airship,Tanks and airships. Can you find the 3 bonus rooms?,Medium-Hard,
Bowser Junior's All-out Assault,08BA-0000-0024-75AE,jadpraet (Mii),NSMBU,Airship,Tanks and airships. Can you find the 3 bonus rooms?,Medium/Hard,
Bowser Junior's Doomship,E2E1-0000-003C-9690,RetroGamerAaron,SMB3,Airship,"A traditional airship level, with Bowser Jr. as the boss.",Hard,
Bowser's Arsenal,3F73-0000-0066-6C80,w1ndowpane,SMW,Castle,Large castle with many enemies + enclosed Bowser fight with tight quarters.,,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iav0AQCmwzmro
Bowser's Bomb Bridge,8B80-0000-0042-96F3,Woootsern,SMB3,Castle,Cross a destroyable bridge while avoiding Bob-ombs to battle Bowser,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZKp302hLiZ01
Bowser's Bridge Assault,15C3-0000-005E-63A1,Edgewind,NSMBU,Airship,Bowser's Mechanized Division storms the big bridge. Lots of tanks.,Medium-Hard,
Bowser's Castle,B761-0000-0023-CE7A,CognitiveScience,SMB,Castle,Classic SMB Castle stage,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYOv08z1MrE9I
Bowser's Castle (Mario World),C4D9-0000-0036-D1D0,RetroGamerAaron,NSMBU,Castle,"Remake of Bowser's castle from Mario World, in New Super Mario Bros Style",Hard,
Bowser's Deadly Elevators!,5C8C-0000-0058-BD4D,Awesome1440,NSMBU,Castle,Tricky castle with... elevators.,Medium - Hard,
Bowser's Fiery Disco,1C57-0000-004A-E039,IcarusGirl,NSMBU,Castle,"There's a party, and you're all invited",Extremely Easy,
Bowser's First Day,7411-0000-005B-9236,Tut,NSMBU,Castle,Quick one level castle stage with moderate difficulty.,Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdn1TyPg
Bowser's Great Chase on Rails,97C4-0000-002B-A03D,jadpraet (Mii),NSMBU,Castle,Bowser will pursue you through this level. Can you make it to the end?,Medium,
Bowser's Lift Castle,E50F-0000-0047-1397,IcarusGirl,NSMBU,Castle,,Medium-Hard,
Bowser's Sunken Hideout,0622-0000-005A-4ED5,Teccy,NSMBU,Underwater,Light bullet-hell underwater stage with a 100-second timer and a fast Bowser encounter at the end where you use his own defenses against him!,Medium-Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaH3RUqvhKBZu
Bowser's Training Day v2,3236-0000-004E-5575,Teccy,SMB,Castle/Ghost House,Help Bowser do his daily training regimen to maintain his awesomeness!,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZpxx81clQLY2
Bowsers Death Run,E546-0000-0047-DE43,Mayo,NSMBU,Castle,You have one jump to spare. Will you make it to bowser?,Hard,
Bramble Scramble (DK Country 2),47DE-0000-0036-3FC4,omegabrave,SMW,Castle,A level that is very similar to the one of the hardest levels in DKC2.,Medium-Hard,
Bramble Scramble (DK Country 2),47DE-0000-0036-3FC4,omegabrave,SMW,Castle,A level that is very similar to the one of the hardest levels in DKC2.,Medium-Hard,
Bramble Scramble (DKC2 Remix),F91A-0000-0059-FA39,,SMW,Airship,A remake of the level Bramble Scramble from Donkey Kong Country 2,Medium-Hard,
Bridge Over Troubled Waters,0DF3-0000-0027-D431,Revegelance,SMB,Airship/Underwater,"A difficult puzzle-ish level, trying to find the right path.",Hard,
Bubble Bobble Rush,F631-0000-006A-6C37,33,SMB,,,,
Bullet Bill Ballet,7F49-0000-0038-FAB1,Master_A1,SMB,Ground/Underground,Mario has to guide the Bullet Bills to reach the goal.,Hard,
Bullet Bounce,AF41-0000-0031-0C10,mastersuperfan,NSMBU,Castle,Use the Bullet Bills to cross the lava,Very Hard,
Burning Chateau,F3FB-0000-001D-F260,DorkchopExpress,NSMBU,Castle,"Lots of Wall Jumps and Burners, no power-ups.",Very Hard,
Buzz the Airships!,0168-0000-0064-1C90,Teccy,SMB3,Airship,Traditional SMB3 airship level with a twist of needing to ride para-beetles between some ships to advance!,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ian0V0sU4ACA8
Buzzy Basin 1,00D6-0000-0038-B70E,,SMW,Ground,Classic / Traditional SMW platforming. World 1.,Easy,
Buzzy Basin 3,C6BB-0000-003A-222A,,SMW,Ground,Classic / Traditional SMW platforming. World 1.,Easy,
Buzzy Basin 4,41E6-0000-003A-E7BF,,SMW,Ground,Classic / Traditional SMW platforming. World 1.,Easy,
Buzzy Beetle Escort Service,F098-0000-0058-3810,SuperiorSatoru,SMB3,Underground/Ground,Escort a Buzzy Beetle to the finish to be able to cross that same finish,Medium - Hard,http://i.imgur.com/eb7frHH.jpg
Cannonball Cruise,212C-0000-0024-7246,Mr.Panda,SMW,Airship,Bounce on cannonballs to get through the airship!,Very Hard,http://imgur.com/HNmYZvg
Cannons and Jets,2983-0000-0029-DDB0,,SMB3,Airship,Platforming level inspired by the Air Force Level in World 8 of SMB3,Hard,
Careful Does It,1D37-0000-0038-C897,ChasHodges,SMB,Ground,Averagely challenging platform stage built around careful jumps.,,
Carefully p(l)aced platforms,38BF-0000-0023-4672,atmb82,SMB,Ground,"A SMB level, a falling platforming challenge (with training and slow expansion and evolution challenges) with a twist. Secret areas inside!",Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYOBfYExq4s4g
Carpenter's Workshop,DF97-0000-004B-DDBC,Lazy B,NSMBU,Airship,Mario visits his old workshop and finds buzzsaws and other sharp objects,Medium-Hard,
CarriBaby,4F79-0000-0046-3F7C,Daniele,SMW,Airship,Enjoy some cannon action with destroyable path and secret passage,Medium-Hard,
Carry The Bob-omb,A00D-0000-0043-B587,Nin10drone,SMW,Underground/Airship,Use a helmet and Yoshi to carry bob-ombs & destroy obstacles.,Hard,
Castle Maze,9130-0000-0067-670C,,SMB,Castle,Can you find the right route through the maze,,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkeGPF2Fg
Castle in the Sky: Just Survive!,351B-0000-01A5-63DC,Buttons,SMB3,Airship/Castle,Hang in there long enough on a collapsing tower until your escape path is clear!,Hard,http://bin.smwcentral.net/u/62/SMM_Castle%2Bin%2Bthe%2BSky_1.jpg
Castle of Trials,B9A0-0000-0024-E5B4,,SMB3,Castle,A castle level with some tricky platforming,Hard,
Castle SHMUP (or High Flying),301C-0000-0050-8601,,NSMBU,Castle,a shmup theme level in castle theme,,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdIZ8new
Castle Time!,4231-0000-0016-7EF2,Gorin,SMB3,Castle,Difficult castle level with two routes to the goal,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkbd0njgQ
CastleVania,9EAA-0000-003F-B210,Scapetti,SMB3,Ghost House,Perhaps the Princess is in another castle...,Hard.,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZCjQgUjD81Hv
Chateau Mélangé,334F-0000-0028-F4DA,Flynch3211,SMB,Castle,"Pipes, doors, maze, good x-4 level",Medium - Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYWPxULSIHpGx
Cheep Cheep Reef (Easy),EF39-0000-0069-602A,CognitiveScience,SMB3,Underwater,Swim through the schools of Cheep Cheep and watch out for the Bloopers!,Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ia6IdUaUylSmP
Cheep Cheep Reef (Hard),796E-0000-0069-59F3,CognitiveScience,SMB3,Underwater,Swim through the schools of Cheep Cheep and watch out for the Bloopers!,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ia6EXUTbh-Bsb
Chomp Cavern,B929-0000-0058-B6EF,LastFootnote,NSMBU,Underground,Traditional stage with lots of secrets and Chain Chomps.,Medium-Hard,
Choose your path... wisely,0559-0000-0019-3FF5,Mike-Wazowski24,SMB3,Airship,"Pretty simple, until you must chose 1 of 2 doors.",Medium,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkbh3_SoA
Cinnamon Park 1-1,2C51-0000-0040-47E4,ellisD,SMW,Ground,"Traditional Mario course, with a secret.",Easy,
Classic 1-1 Inverted Plus,649E-0000-0027-367E,Revegelance,SMB3,Ghost House/Ground,"Level 1-1 from Super Mario Bros. - Upside Down, with a twist.",Medium,
Classic castle,AAC2-0000-0064-0343,shinryuu_,SMB,Castle,Tried to recreate a traditional classic castle level,Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkd8jmWAg
Clock Secret Ghost House,EC53-0000-0069-0B22,Mikeyrules,SMW,Ghost House,Clocks are always hiding secrets.,Medium-Hard,
Clock Tower,4C85-0000-0072-E935,Ramza66,NSMBU,Castle,"A somewhat difficult castle with grinders, tracks, and conveyor belts to simulate clockwork.",,
Cloud city,BA18-0000-0044-6CA6,DeathlyReign,NSMBU,Airship,Floating sky city with strange feeling?...,Normal,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcq7KKWQ
Cloudtop Cruise,A1C6-0000-0049-1A14,HoopingSpartans,SMB3,Airship,Cruise amongst the clouds as you hop from airship to airship. ,Medium-Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkc36hiNw
Clown & Chainsaws,72AE-0000-0021-85CA,SteDL,SMB3,Castle,Clown-car focused level with chainsaws.,Medium,
Colosseum Crisis,171A-0000-003E-C357,DeathlyReign,SMB,Airship,play as palutena on a city in choas! will you stop the choas in time so the colosseum may be opened once again?,Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkcdygs3A
Countdown Castle,01FE-0000-004F-A07D,siredav,SMB3,Castle,A single room puzzle with 100 seconds on the clock - good luck!,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaIHGEoMCCByQ
"Courage, Power, and Wisdom",41AC-0000-0048-C3A7,Brenen,SMB,Ground,"Collect all three pieces of the Triforce as Link, Gannondorf, and Zelda (or Sheik!)",Medium,
Course 1-1 v3,473C-0000-006B-5A04,Forte,SMW,Ground/Castle,Various Jump Challenges,Medium-Hard,
Course 1-2,4475-0000-006B-6286,Forte,SMW,Ground/Underground,Various Jump Challenges,,
Creepy Mansion,57E0-0000-0041-00E3,SolaraSoul,SMB3,Ghost House,An atmospheric creepy level.,Medium,
Crystal-Vine Caverns (SML 3-2),8DCC-0000-0055-262D,Candido,NSMBU,Underground,Reimgine/Remake of 3-2 from Super Mario Land,Medium - Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdWVXtEA
Crystal-Vine Caverns (SML 3-3),22E7-0000-005B-A336,Candido,NSMBU,Underground/Castle,Reimgine/Remake of 3-3 from Super Mario Land,Medium - Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdnQNAJw
Cursed Clock Tower Castlev. DoS,8DCE-0000-0042-4B48,omegabrave,SMW,Castle,A remake from the Cursed Clock Tower in Castlevania Dawn of Sorrow,Medium-Hard,
Deafening Silence,EDE0-0000-0045-9047,Byonra,SMB3,Ghost House,Exactly what it sounds like. Or doesn't sound like. Something.,Medium,
Death Mountain: Microgame Edition,F533-0000-006A-AE2E,Teccy,SMB3,Castle,"A faithful (almost 100%) recreation of the final cave in Death Mountain of Zelda 2, but Mario-ified!",Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaVUtY4z7NN9h
Deception,25D2-0000-0047-1165,MegaKurosMario,SMW,Ground/Ghost House,"Easy to survive, hard to solve, a hard but fair puzzle.",Very Hard,
Deja Boo,961D-0000-0033-EBF2,CognitiveScience,SMW,Ghost House,SMW style Ghost House,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iYpm8gJnN4cMc
Deja Vu...,D899-0000-007D-47AC,Justinlourenco,NSMBU,Castle/Ground,A dark/light world where mario must transport between past and present to survive,Medium-Hard,
Derpy Airship of Doom,A576-0000-002B-B8DA,Gorin,NSMBU,Airship,Long airship level with lots of fun traps!,Very Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkb8JUYmg
Descend into Madness,2C36-0000-0040-6223,wartjr2373,SMB,Ground / Castle,Mario's wild ride through drug-induced madness.,Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZElCEFfgxXZk
DJ Bloopz,878C-0000-0077-958F,KnightofFenrir,SMB,Underground,A timed obstacle course inspired by the final boss of Splatoon.,Hard,http://imgur.com/2hcZGBX
DK Jr. Jungle Climber,CEBC-0000-0053-1E19,Lazy B,SMB,Ground,A game inspired by DK jr. - a lot of vines to hold on,Easy-Medium,
Don't Stop,1818-0000-003A-6CFC,Nin3DSFan/Matt,NSMBU,Castle,,Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iY20Tkr4DKHzO
Donkey Kong Country Ape-Bit,E047-0000-005F-8D02,VandyPR,SMB,Ground/Underwater,Return to Donkey Kong Island for a brand new adventure! Find all 100 coins!,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaZCloO8j-CVb
Donkey Kong Country Ape-Bit 2,F6B7-0000-007B-95C4,VandyPR,SMB,Ground/Underground,The sequel! Find all 100 coins and reach the top of the flag pole!,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69ib3_U0jz_dJ9N
Donut Delirium,5AFC-0000-0069-AF9F,Master_A1,SMB3,Castle/Underground,Clever puzzles and action-packed gameplay awaits you in Bowser's castle.,Medium - Hard,https://miiverse.nintendo.net/posts/AYQHAAABAACNUKFJ_V_tBA
Doom,BB2D-0000-0039-5414,KnightofFenrir,SMW,Castle,A platforming/shooter level based on the video game Doom.,Medium,http://imgur.com/eGp0Nap
Double Decker Labyrinth,71C4-0000-00F5-6BA3,MetalSmasher86,SMB,Castle,"A perilous platforming maze spanning two floors, each with its own end boss!",Super Expert,https://www.youtube.com/watch?v=feeLdUe8gHg
